LOCATION,DateTime,DO.mgL,Temp.F
TLSAC,2/8/2022 21:44,11.99,50.94
TLSAC,2/8/2022 21:59,11.99,50.9
TLSAC,2/8/2022 22:14,11.97,50.83
TLSAC,2/8/2022 22:29,11.95,50.79
TLSAC,2/8/2022 22:44,11.95,50.76
TLSAC,2/8/2022 22:59,11.95,50.72
TLSAC,2/8/2022 23:14,11.93,50.68
TLSAC,2/8/2022 23:29,11.94,50.65
TLSAC,2/8/2022 23:44,11.91,50.61
TLSAC,2/8/2022 23:59,11.91,50.61
TLSAC,2/9/2022 0:14,11.91,50.58
TLSAC,2/9/2022 0:29,11.9,50.54
TLSAC,2/9/2022 0:44,11.89,50.54
TLSAC,2/9/2022 0:59,11.89,50.5
TLSAC,2/9/2022 1:14,11.88,50.5
TLSAC,2/9/2022 1:29,11.88,50.5
TLSAC,2/9/2022 1:44,11.86,50.5
TLSAC,2/9/2022 1:59,11.87,50.5
TLSAC,2/9/2022 2:14,11.86,50.5
TLSAC,2/9/2022 2:29,11.86,50.5
TLSAC,2/9/2022 2:44,11.85,50.54
TLSAC,2/9/2022 2:59,11.85,50.54
TLSAC,2/9/2022 3:14,11.85,50.58
TLSAC,2/9/2022 3:29,11.84,50.61
TLSAC,2/9/2022 3:44,11.83,50.61
TLSAC,2/9/2022 3:59,11.83,50.65
TLSAC,2/9/2022 4:14,11.83,50.72
TLSAC,2/9/2022 4:29,11.82,50.76
TLSAC,2/9/2022 4:44,11.8,50.79
TLSAC,2/9/2022 4:59,11.79,50.83
TLSAC,2/9/2022 5:14,11.78,50.86
TLSAC,2/9/2022 5:29,11.78,50.9
TLSAC,2/9/2022 5:44,11.77,50.94
TLSAC,2/9/2022 5:59,11.76,50.97
TLSAC,2/9/2022 6:14,11.75,50.97
TLSAC,2/9/2022 6:29,11.74,51.01
TLSAC,2/9/2022 6:44,11.74,51.01
TLSAC,2/9/2022 6:59,11.73,51.04
TLSAC,2/9/2022 7:14,11.72,51.04
TLSAC,2/9/2022 7:29,11.71,51.08
TLSAC,2/9/2022 7:44,11.72,51.08
TLSAC,2/9/2022 7:59,11.72,51.12
TLSAC,2/9/2022 8:14,11.73,51.12
TLSAC,2/9/2022 8:29,11.73,51.15
TLSAC,2/9/2022 8:44,11.74,51.15
TLSAC,2/9/2022 8:59,11.76,51.19
TLSAC,2/9/2022 9:14,11.75,51.19
TLSAC,2/9/2022 9:29,11.78,51.22
TLSAC,2/9/2022 9:44,11.78,51.26
TLSAC,2/9/2022 9:59,11.83,51.33
TLSAC,2/9/2022 10:14,11.82,51.37
TLSAC,2/9/2022 10:29,11.83,51.4
TLSAC,2/9/2022 10:44,11.83,51.48
TLSAC,2/9/2022 10:59,11.84,51.51
TLSAC,2/9/2022 11:14,11.79,51.51
TLSAC,2/9/2022 11:29,11.82,51.51
TLSAC,2/9/2022 11:44,11.83,51.51
TLSAC,2/9/2022 11:59,11.83,51.51
TLSAC,2/9/2022 12:14,11.83,51.55
TLSAC,2/9/2022 12:29,11.87,51.62
TLSAC,2/9/2022 12:44,11.84,51.62
TLSAC,2/9/2022 12:59,11.87,51.66
TLSAC,2/9/2022 13:14,11.89,51.73
TLSAC,2/9/2022 13:29,11.88,51.8
TLSAC,2/9/2022 13:44,11.89,51.87
TLSAC,2/9/2022 13:59,11.88,51.94
TLSAC,2/9/2022 14:14,11.88,51.98
TLSAC,2/9/2022 14:29,11.89,52.05
TLSAC,2/9/2022 14:44,11.88,52.05
TLSAC,2/9/2022 14:59,11.88,52.09
TLSAC,2/9/2022 15:14,11.9,52.12
TLSAC,2/9/2022 15:29,11.9,52.12
TLSAC,2/9/2022 15:44,11.9,52.16
TLSAC,2/9/2022 15:59,11.91,52.16
TLSAC,2/9/2022 16:14,11.9,52.16
TLSAC,2/9/2022 16:29,11.91,52.16
TLSAC,2/9/2022 16:44,11.91,52.16
TLSAC,2/9/2022 16:59,11.9,52.16
TLSAC,2/9/2022 17:14,11.91,52.16
TLSAC,2/9/2022 17:29,11.89,52.16
TLSAC,2/9/2022 17:44,11.89,52.16
TLSAC,2/9/2022 17:59,11.88,52.12
TLSAC,2/9/2022 18:14,11.87,52.12
TLSAC,2/9/2022 18:29,11.87,52.09
TLSAC,2/9/2022 18:44,11.85,52.05
TLSAC,2/9/2022 18:59,11.84,52.05
TLSAC,2/9/2022 19:14,11.84,52.02
TLSAC,2/9/2022 19:29,11.83,52.02
TLSAC,2/9/2022 19:44,11.8,51.98
TLSAC,2/9/2022 19:59,11.79,51.94
TLSAC,2/9/2022 20:14,11.78,51.91
TLSAC,2/9/2022 20:29,11.77,51.91
TLSAC,2/9/2022 20:44,11.76,51.87
TLSAC,2/9/2022 20:59,11.76,51.84
TLSAC,2/9/2022 21:14,11.74,51.8
TLSAC,2/9/2022 21:29,11.74,51.76
TLSAC,2/9/2022 21:44,11.72,51.73
TLSAC,2/9/2022 21:59,11.69,51.69
TLSAC,2/9/2022 22:14,11.69,51.66
TLSAC,2/9/2022 22:29,11.68,51.62
TLSAC,2/9/2022 22:44,11.68,51.58
TLSAC,2/9/2022 22:59,11.68,51.55
TLSAC,2/9/2022 23:14,11.68,51.51
TLSAC,2/9/2022 23:29,11.67,51.51
TLSAC,2/9/2022 23:44,11.65,51.48
TLSAC,2/9/2022 23:59,11.65,51.48
TLSAC,2/10/2022 0:14,11.64,51.44
TLSAC,2/10/2022 0:29,11.65,51.44
TLSAC,2/10/2022 0:44,11.63,51.4
TLSAC,2/10/2022 0:59,11.63,51.4
TLSAC,2/10/2022 1:14,11.63,51.4
TLSAC,2/10/2022 1:29,11.62,51.4
TLSAC,2/10/2022 1:44,11.61,51.44
TLSAC,2/10/2022 1:59,11.61,51.44
TLSAC,2/10/2022 2:14,11.61,51.44
TLSAC,2/10/2022 2:29,11.6,51.48
TLSAC,2/10/2022 2:44,11.59,51.48
TLSAC,2/10/2022 2:59,11.59,51.51
TLSAC,2/10/2022 3:14,11.58,51.55
TLSAC,2/10/2022 3:29,11.58,51.58
TLSAC,2/10/2022 3:44,11.57,51.58
TLSAC,2/10/2022 3:59,11.56,51.62
TLSAC,2/10/2022 4:14,11.56,51.69
TLSAC,2/10/2022 4:29,11.55,51.73
TLSAC,2/10/2022 4:44,11.55,51.76
TLSAC,2/10/2022 4:59,11.54,51.8
TLSAC,2/10/2022 5:14,11.53,51.8
TLSAC,2/10/2022 5:29,11.52,51.84
TLSAC,2/10/2022 5:44,11.52,51.87
TLSAC,2/10/2022 5:59,11.5,51.91
TLSAC,2/10/2022 6:14,11.49,51.94
TLSAC,2/10/2022 6:29,11.47,51.98
TLSAC,2/10/2022 6:44,11.47,52.02
TLSAC,2/10/2022 6:59,11.46,52.05
TLSAC,2/10/2022 7:14,11.45,52.05
TLSAC,2/10/2022 7:29,11.46,52.09
TLSAC,2/10/2022 7:44,11.44,52.12
TLSAC,2/10/2022 7:59,11.44,52.12
TLSAC,2/10/2022 8:14,11.45,52.16
TLSAC,2/10/2022 8:29,11.45,52.16
TLSAC,2/10/2022 8:44,11.47,52.2
TLSAC,2/10/2022 8:59,11.48,52.23
TLSAC,2/10/2022 9:14,11.49,52.3
TLSAC,2/10/2022 9:29,11.52,52.34
