LOCATION,DateTime,DO.mgL,Temp.F
TLSAC,2022-02-08T17:14:00Z,12.17,51.51
TLSAC,2022-02-08T17:29:00Z,12.17,51.48
TLSAC,2022-02-08T17:44:00Z,12.16,51.48
TLSAC,2022-02-08T17:59:00Z,12.15,51.48
TLSAC,2022-02-08T18:14:00Z,12.15,51.44
TLSAC,2022-02-08T18:29:00Z,12.14,51.4
TLSAC,2022-02-08T18:44:00Z,12.13,51.4
TLSAC,2022-02-08T18:59:00Z,12.1,51.37
TLSAC,2022-02-08T19:14:00Z,12.08,51.33
TLSAC,2022-02-08T19:29:00Z,12.08,51.3
TLSAC,2022-02-08T19:44:00Z,12.07,51.26
TLSAC,2022-02-08T19:59:00Z,12.05,51.22
TLSAC,2022-02-08T20:14:00Z,12.04,51.19
TLSAC,2022-02-08T20:29:00Z,12.03,51.15
TLSAC,2022-02-08T20:44:00Z,12.03,51.12
TLSAC,2022-02-08T20:59:00Z,12.01,51.04
TLSAC,2022-02-08T21:14:00Z,12.01,51.01
TLSAC,2022-02-08T21:29:00Z,12,50.97
TLSAC,2022-02-08T21:44:00Z,11.99,50.94
TLSAC,2022-02-08T21:59:00Z,11.99,50.9
TLSAC,2022-02-08T22:14:00Z,11.97,50.83
TLSAC,2022-02-08T22:29:00Z,11.95,50.79
TLSAC,2022-02-08T22:44:00Z,11.95,50.76
TLSAC,2022-02-08T22:59:00Z,11.95,50.72
TLSAC,2022-02-08T23:14:00Z,11.93,50.68
TLSAC,2022-02-08T23:29:00Z,11.94,50.65
TLSAC,2022-02-08T23:44:00Z,11.91,50.61
TLSAC,2022-02-08T23:59:00Z,11.91,50.61
TLSAC,2022-02-09T00:14:00Z,11.91,50.58
TLSAC,2022-02-09T00:29:00Z,11.9,50.54
TLSAC,2022-02-09T00:44:00Z,11.89,50.54
TLSAC,2022-02-09T00:59:00Z,11.89,50.5
TLSAC,2022-02-09T01:14:00Z,11.88,50.5
TLSAC,2022-02-09T01:29:00Z,11.88,50.5
TLSAC,2022-02-09T01:44:00Z,11.86,50.5
TLSAC,2022-02-09T01:59:00Z,11.87,50.5
TLSAC,2022-02-09T02:14:00Z,11.86,50.5
TLSAC,2022-02-09T02:29:00Z,11.86,50.5
TLSAC,2022-02-09T02:44:00Z,11.85,50.54
TLSAC,2022-02-09T02:59:00Z,11.85,50.54
TLSAC,2022-02-09T03:14:00Z,11.85,50.58
TLSAC,2022-02-09T03:29:00Z,11.84,50.61
TLSAC,2022-02-09T03:44:00Z,11.83,50.61
TLSAC,2022-02-09T03:59:00Z,11.83,50.65
TLSAC,2022-02-09T04:14:00Z,11.83,50.72
TLSAC,2022-02-09T04:29:00Z,11.82,50.76
TLSAC,2022-02-09T04:44:00Z,11.8,50.79
TLSAC,2022-02-09T04:59:00Z,11.79,50.83
TLSAC,2022-02-09T05:14:00Z,11.78,50.86
TLSAC,2022-02-09T05:29:00Z,11.78,50.9
TLSAC,2022-02-09T05:44:00Z,11.77,50.94
TLSAC,2022-02-09T05:59:00Z,11.76,50.97
TLSAC,2022-02-09T06:14:00Z,11.75,50.97
TLSAC,2022-02-09T06:29:00Z,11.74,51.01
TLSAC,2022-02-09T06:44:00Z,11.74,51.01
TLSAC,2022-02-09T06:59:00Z,11.73,51.04
TLSAC,2022-02-09T07:14:00Z,11.72,51.04
TLSAC,2022-02-09T07:29:00Z,11.71,51.08
TLSAC,2022-02-09T07:44:00Z,11.72,51.08
TLSAC,2022-02-09T07:59:00Z,11.72,51.12
TLSAC,2022-02-09T08:14:00Z,11.73,51.12
TLSAC,2022-02-09T08:29:00Z,11.73,51.15
TLSAC,2022-02-09T08:44:00Z,11.74,51.15
TLSAC,2022-02-09T08:59:00Z,11.76,51.19
TLSAC,2022-02-09T09:14:00Z,11.75,51.19
TLSAC,2022-02-09T09:29:00Z,11.78,51.22
TLSAC,2022-02-09T09:44:00Z,11.78,51.26
TLSAC,2022-02-09T09:59:00Z,11.83,51.33
TLSAC,2022-02-09T10:14:00Z,11.82,51.37
TLSAC,2022-02-09T10:29:00Z,11.83,51.4
TLSAC,2022-02-09T10:44:00Z,11.83,51.48
TLSAC,2022-02-09T10:59:00Z,11.84,51.51
TLSAC,2022-02-09T11:14:00Z,11.79,51.51
TLSAC,2022-02-09T11:29:00Z,11.82,51.51
TLSAC,2022-02-09T11:44:00Z,11.83,51.51
TLSAC,2022-02-09T11:59:00Z,11.83,51.51
TLSAC,2022-02-09T12:14:00Z,11.83,51.55
TLSAC,2022-02-09T12:29:00Z,11.87,51.62
