Date,LOCATION,PIT,Length.mm,Weight.g
2/9/2021,RRCAN,D93B4F,54,1.52
2/9/2021,RRCAN,D93B63,54,1.52
2/9/2021,RRCAN,D93B68,62,2.16
2/9/2021,RRCAN,D93B6C,55,1.51
2/9/2021,RRCAN,D93B72,53,1.24
2/9/2021,RRCAN,D93B8E,58,1.76
2/9/2021,RRCAN,D93BAC,53,1.37
2/9/2021,RRCAN,D93BAE,56,1.55
2/9/2021,RRCAN,D93BAF,56,1.68
2/9/2021,RRCAN,D93BC3,62,2.74
2/9/2021,RRCAN,D93BCD,60,1.68
2/9/2021,RRCAN,D93BD9,57,1.94
2/9/2021,RRCAN,D93C34,58,1.98
2/9/2021,RRCAN,D93C82,60,2.24
2/9/2021,RRCAN,D93CAE,57,1.56
2/9/2021,RRSAC1,C3887D,55,1.61
2/9/2021,RRSAC1,D93B38,52,1.22
2/9/2021,RRSAC1,D93B56,NA,NA
2/9/2021,RRSAC1,D93B5E,NA,NA
2/9/2021,RRSAC1,D93B6D,59,1.88
2/9/2021,RRSAC1,D93B7B,57,1.58
2/9/2021,RRSAC1,D93B7D,57,1.7
2/9/2021,RRSAC1,D93B7F,NA,NA
2/9/2021,RRSAC1,D93B9C,56,1.55
2/9/2021,RRSAC1,D93BAB,56,1.91
2/9/2021,RRSAC1,D93BE1,55,1.7
2/9/2021,RRSAC1,D93BED,59,1.98
2/9/2021,RRSAC1,D93BF3,58,1.74
2/9/2021,RRSAC1,D93BFD,NA,NA
2/9/2021,RRSAC1,D93C4A,54,1.43
2/9/2021,RRSAC1,D93C64,55,1.49
2/9/2021,RRSAC1,D93C73,54,1.68
2/9/2021,RRSAC1,D93C7B,59,1.81
2/9/2021,RRSAC1,D93CB8,55,1.61
2/9/2021,RRSAC1,DBCEF0,NA,NA
2/9/2021,RRSAC2A,C38870,49,0.97
2/9/2021,RRSAC2A,C388A7,52,1.65
2/9/2021,RRSAC2A,C388A9,54,1.7
2/9/2021,RRSAC2A,C388B4,NA,NA
2/9/2021,RRSAC2A,D93B3D,57,1.63
2/9/2021,RRSAC2A,D93B8B,59,2.2
2/9/2021,RRSAC2A,D93BBC,59,1.99
2/9/2021,RRSAC2A,D93BD5,59,1.81
2/9/2021,RRSAC2A,D93BD7,59,2.16
2/9/2021,RRSAC2A,D93BDC,58,2.29
2/9/2021,RRSAC2A,D93BDD,57,1.73
2/9/2021,RRSAC2A,D93C01,61,2.23
2/9/2021,RRSAC2A,D93C05,53,1.28
2/9/2021,RRSAC2A,D93C4C,51,1.21
2/9/2021,RRSAC2A,D93C5C,56,1.8
2/9/2021,RRSAC2A,D93C97,55,1.58
2/9/2021,RRSAC2A,DBCE18,NA,NA
2/9/2021,RRSAC2A,DBCEEF,NA,NA
2/9/2021,RRSAC2C,D93B76,55,1.53
2/9/2021,RRSAC2C,D93B8C,57,1.69
2/9/2021,RRSAC2C,D93B90,NA,NA
2/9/2021,RRSAC2C,D93B99,59,2.3
2/9/2021,RRSAC2C,D93B9A,53,1.4
2/9/2021,RRSAC2C,D93BA8,58,2.17
2/9/2021,RRSAC2C,D93BD1,53,1.44
2/9/2021,RRSAC2C,D93BEA,58,1.69
2/9/2021,RRSAC2C,D93C14,55,1.42
2/9/2021,RRSAC2C,D93C3F,56,1.78
2/9/2021,RRSAC2C,D93C40,58,1.95
2/9/2021,RRSAC2C,D93C63,56,1.51
2/9/2021,RRSAC2C,D93C6C,55,1.79
2/9/2021,RRSAC2C,D93C7A,55,1.7
2/9/2021,RRSAC2C,D93CA0,57,1.72
2/9/2021,RRSAC2C,D93CA7,53,1.55
2/9/2021,RRSAC2C,DBCDDB,NA,NA
2/9/2021,RRSAC2C,DBCDE2,NA,NA
2/9/2021,RRSAC2C,DBCEA8,NA,NA
2/9/2021,RRSAC4,D93B71,52,1.3
2/9/2021,RRSAC4,D93BAA,55,1.63
2/9/2021,RRSAC4,D93C04,59,1.99
2/9/2021,RRSAC4,D93C06,58,1.87
2/9/2021,RRSAC4,D93C11,51,1.18
2/9/2021,RRSAC4,D93C1A,52,1.36
2/9/2021,RRSAC4,D93C28,57,1.72
2/9/2021,RRSAC4,D93C3A,53,1.37
2/9/2021,RRSAC4,D93C49,55,1.74
2/9/2021,RRSAC4,D93C5F,59,2.18
2/9/2021,RRSAC4,D93C72,55,1.49
2/9/2021,RRSAC4,D93C8A,58,2.01
2/9/2021,RRSAC4,D93C8E,58,2.1
2/9/2021,RRSAC4,D93C9D,51,1.17
2/9/2021,RRSAC4,D93CC5,53,1.17
2/9/2021,RRSAC4,NOTAG,NA,NA
2/9/2021,RRSAC5,C38896,57,1.91
2/9/2021,RRSAC5,C388E6,54,1.34
2/9/2021,RRSAC5,D93B40,57,1.64
2/9/2021,RRSAC5,D93B48,61,2.4
2/9/2021,RRSAC5,D93B85,56,1.63
2/9/2021,RRSAC5,D93B87,58,2.13
2/9/2021,RRSAC5,D93B94,61,2.11
2/9/2021,RRSAC5,D93BB4,56,1.5
2/9/2021,RRSAC5,D93BE5,58,1.92
2/9/2021,RRSAC5,D93C2B,55,1.83
2/9/2021,RRSAC5,D93C2C,60,2.18
2/9/2021,RRSAC5,D93C48,52,1.23
2/9/2021,RRSAC5,D93C9A,59,1.96
2/9/2021,RRSAC5,D93CAD,NA,NA
2/9/2021,RRSAC5,D93CBC,53,1.35
2/9/2021,RRSAC5,D93COC,51,1.1
2/9/2021,RRSAC5,DBCDE1,NA,NA
2/9/2021,RRSAC5,DBCE15,NA,NA
2/9/2021,RRSAC5,DBCEA7,NA,NA
2/9/2021,RRSAC5,DBCECF,NA,NA
2/9/2021,RRSAC5,DBCED0,NA,NA
2/9/2021,RRSAC5,NO TAG,NA,NA
2/9/2021,RRSAC6,C3885F,60,2.35
2/9/2021,RRSAC6,C38943,58,2.16
2/9/2021,RRSAC6,D93B5A,55,1.45
2/9/2021,RRSAC6,D93B5B,59,2.03
2/9/2021,RRSAC6,D93B96,60,2.1
2/9/2021,RRSAC6,D93BA9,49,1.04
2/9/2021,RRSAC6,D93BE0,55,1.6
2/9/2021,RRSAC6,D93BF4,53,1.55
2/9/2021,RRSAC6,D93BF6,60,2.22
2/9/2021,RRSAC6,D93BFE,52,1.01
2/9/2021,RRSAC6,D93C6B,58,2.13
2/9/2021,RRSAC6,D93C95,59,2.17
2/9/2021,RRSAC6,D93CB9,55,1.8
2/9/2021,RRSAC6,D93CBE,57,1.6
2/9/2021,RRSAC6,D93CC1,61,2.46
2/9/2021,RRSAC7,D93B6E,57,1.9
2/9/2021,RRSAC7,D93B98,57,1.97
2/9/2021,RRSAC7,D93BAD,49,1
2/9/2021,RRSAC7,D93BB2,55,1.68
2/9/2021,RRSAC7,D93BBF,58,1.66
2/9/2021,RRSAC7,D93BC8,60,2.26
2/9/2021,RRSAC7,D93BD6,53,1.28
2/9/2021,RRSAC7,D93BDE,54,1.64
2/9/2021,RRSAC7,D93C0D,52,1.26
2/9/2021,RRSAC7,D93C46,57,1.93
2/9/2021,RRSAC7,D93C4D,54,1.66
2/9/2021,RRSAC7,D93C90,53,1.37
2/9/2021,RRSAC7,D93C9F,57,1.9
2/9/2021,RRSAC7,D93CA6,59,1.99
2/9/2021,RRSAC7,D93CBD,55,1.57
2/9/2021,RRSAC7,NO TAG,NA,NA
2/9/2021,RRSAC8,C38858,49,0.98
2/9/2021,RRSAC8,C3885C,57,2.17
2/9/2021,RRSAC8,C38871,58,2.18
2/9/2021,RRSAC8,C38949,50,1.05
2/9/2021,RRSAC8,C3895A,59,2.01
2/9/2021,RRSAC8,D93B4E,58,2.22
2/9/2021,RRSAC8,D93BB6,58,2.17
2/9/2021,RRSAC8,D93BCA,55,1.68
2/9/2021,RRSAC8,D93BDO,NA,NA
2/9/2021,RRSAC8,D93BEC,57,1.64
2/9/2021,RRSAC8,D93C30,55,1.52
2/9/2021,RRSAC8,D93C71,NA,NA
2/9/2021,RRSAC8,D93C78,NA,NA
2/9/2021,RRSAC8,D93C7F,52,1.36
2/9/2021,RRSAC8,D93C83,54,1.56
2/9/2021,RRSAC8,D93C92,54,1.32
2/9/2021,RRSAC8,D93CBB,57,1.96
2/9/2021,RRSAC8,D93CC2,54,1.42
2/9/2021,RRSAC8,D93DE9,NA,NA
2/9/2021,RRSAC8,NO TAG,NA,NA
2/15/2021,RRCAN,D93B4F,57,2
2/15/2021,RRCAN,D93B63,56,1.96
2/15/2021,RRCAN,D93B68,64,2.66
2/15/2021,RRCAN,D93B6C,57,1.75
2/15/2021,RRCAN,D93B72,55,1.71
2/15/2021,RRCAN,D93B8E,60,2.38
2/15/2021,RRCAN,D93BAC,54,1.76
2/15/2021,RRCAN,D93BAE,58,1.94
2/15/2021,RRCAN,D93BAF,58,2.23
2/15/2021,RRCAN,D93BC3,66,3.26
2/15/2021,RRCAN,D93BCD,61,2.36
