Date,LOCATION,PIT,Length.mm,Weight.g
2019-02-21,RRSAC2B,B03D5,NA,NA
2019-02-21,RRSAC2B,B03DD,50,1.42
2019-02-21,RRSAC2B,B03F2,51,1.47
2019-02-21,RRSAC2B,B040E,48,1.35
2019-02-21,RRSAC2B,B0429,48,1.05
2019-02-21,RRSAC2B,B0446,50,1.14
2019-02-21,RRSAC2B,B0453,53,1.5
2019-02-21,RRSAC2B,B0455,51,1.31
2019-02-21,RRSAC2B,B0476,50,1.22
2019-02-21,RRSAC2B,B0494,50,1.17
2019-02-21,RRSAC2B,B04A0,48,1.08
2019-02-21,RRSAC2B,B04AD,51,1.19
2019-02-21,RRSAC2B,B04AE,50,1.33
2019-02-21,RRSAC2B,D6E78,51,1.35
2019-02-21,RRSAC2B,D6E85,NA,NA
2019-02-21,RRSAC2B,D6E9B,50,1.4
2019-02-21,RRSAC3,B03AA,NA,NA
2019-02-21,RRSAC3,B03B4,53,1.56
2019-02-21,RRSAC3,B03D1,41,0.84
2019-02-21,RRSAC3,B03D7,48,1.35
2019-02-21,RRSAC3,B03D8,51,1.3
2019-02-21,RRSAC3,B03D9,48,1.05
2019-02-21,RRSAC3,B03E8,NA,NA
2019-02-21,RRSAC3,B0406,47,1.08
2019-02-21,RRSAC3,B041D,53,1.35
2019-02-21,RRSAC3,B0423,NA,NA
2019-02-21,RRSAC3,B043D,49,1.11
2019-02-21,RRSAC3,B0448,NA,NA
2019-02-21,RRSAC3,B044A,49,1.24
2019-02-21,RRSAC3,B0456,43,0.98
2019-02-21,RRSAC3,B047E,NA,NA
2019-02-21,RRSAC3,B0481,48,0.99
2019-02-21,RRSAC3,B0488,NA,NA
2019-02-21,RRSAC3,B04B0,46,0.96
2019-02-21,RRSAC3,B04B1,NA,NA
2019-02-21,RRSAC3,B04B3,NA,NA
2019-02-21,RRSAC3,B04B7,53,1.5
2019-02-21,RRSAC3,B04C7,NA,NA
2019-02-21,RRSAC3,B04C8,51,1.43
2019-02-21,RRSAC3,B04CB,49,1.07
2019-02-21,RRSAC3,D6E80,51,1.31
2019-02-21,RRSAC3,D6EC1,47,1.13
2019-02-21,RRSAC3,D6ED1,50,1.48
2019-02-21,RRSAC4,B03A6,48,1.02
2019-02-21,RRSAC4,B03C4,NA,NA
2019-02-21,RRSAC4,B03D3,46,0.96
2019-02-21,RRSAC4,B03E2,50,1.02
2019-02-21,RRSAC4,B0408,49,1.23
2019-02-21,RRSAC4,B0418,NA,NA
2019-02-21,RRSAC4,B041F,44,0.85
2019-02-21,RRSAC4,B042A,49,1.11
2019-02-21,RRSAC4,B0434,49,1.19
2019-02-21,RRSAC4,B0437,50,1.2
2019-02-21,RRSAC4,B0443,49,1.23
2019-02-21,RRSAC4,B044B,NA,NA
2019-02-21,RRSAC4,B044D,48,1.01
2019-02-21,RRSAC4,B0462,48,1.12
2019-02-21,RRSAC4,B0474,51,0.97
2019-02-21,RRSAC4,B0487,51,1.33
